,Unnamed: 0,Participant_unique_ID,correct_keyboard_response,correct_response,flanker_condition,response_keyboard_response,response_time_keyboard_response,stimulus,Latin_square_group,target_type
24588,24588,59,1,M,5,m,388,ouwe ouwe ouwe lijk lijk ouwe ouwe,4,word
24589,24589,59,1,M,7,m,961,romp romp romp haan romp romp haan,4,word
24590,24590,59,1,C,2,c,475,hass uten uten hass uten uten uten,4,nonword
24591,24591,59,0,M,3,c,369,ziek houd ziek houd ziek ziek ziek,4,word
24592,24592,59,1,M,5,m,389,zaal zaal zaal bron bron zaal zaal,4,word
24593,24593,59,0,C,3,m,426,hijl orse hijl orse hijl hijl hijl,4,nonword
24594,24594,59,0,M,7,c,509,trad trad trad hief trad trad hief,4,word
24595,24595,59,1,M,3,m,469,ford apen ford apen ford ford ford,4,word
24596,24596,59,1,C,3,c,466,vlog esen vlog esen vlog vlog vlog,4,nonword
24597,24597,59,0,C,1,m,521,ralt ralt ralt geuk ralt ralt ralt,4,nonword
24598,24598,59,1,C,1,c,452,zood zood zood peft zood zood zood,4,nonword
24599,24599,59,1,C,3,c,481,raal mose raal mose raal raal raal,4,nonword
24600,24600,59,1,M,5,m,607,goud goud goud leer leer goud goud,4,word
24601,24601,59,1,C,5,c,454,icht icht icht vool vool icht icht,4,nonword
24602,24602,59,1,C,7,c,441,sins sins sins elvo sins sins elvo,4,nonword
24603,24603,59,0,M,3,c,465,buik rand buik rand buik buik buik,4,word
24604,24604,59,1,M,7,m,515,kerk kerk kerk mama kerk kerk mama,4,word
24605,24605,59,1,C,3,c,432,sopa drig sopa drig sopa sopa sopa,4,nonword
24606,24606,59,0,M,6,c,508,gras gras gras neef gras neef gras,4,word
24607,24607,59,0,M,4,c,443,mouw mouw race race mouw mouw mouw,4,word
24608,24608,59,1,C,3,c,499,wien zoud wien zoud wien wien wien,4,nonword
24609,24609,59,1,M,6,m,450,bied bied bied loon bied loon bied,4,word
24610,24610,59,1,C,3,c,646,tans piem tans piem tans tans tans,4,nonword
24611,24611,59,0,C,3,m,426,dold pijs dold pijs dold dold dold,4,nonword
24612,24612,59,0,M,4,c,430,dief dief klus klus dief dief dief,4,word
24613,24613,59,0,M,7,c,423,wolf wolf wolf munt wolf wolf munt,4,word
24614,24614,59,1,M,4,m,457,blik blik rode rode blik blik blik,4,word
24615,24615,59,1,M,3,m,381,wild reet wild reet wild wild wild,4,word
24616,24616,59,1,M,7,m,362,vrij vrij vrij zaak vrij vrij zaak,4,word
24617,24617,59,1,M,1,m,286,koud koud koud lief koud koud koud,4,word
24618,24618,59,0,C,1,m,294,wats wats wats noeg wats wats wats,4,nonword
24619,24619,59,0,C,7,m,264,palf palf palf noet palf palf noet,4,nonword
24620,24620,59,1,M,4,m,292,trek trek gauw gauw trek trek trek,4,word
24621,24621,59,1,M,4,m,384,lach lach boog boog lach lach lach,4,word
24622,24622,59,1,C,6,c,499,aths aths aths woeg aths woeg aths,4,nonword
24623,24623,59,0,M,4,c,455,city city poen poen city city city,4,word
24624,24624,59,0,C,4,m,350,vlom vlom tert tert vlom vlom vlom,4,nonword
24625,24625,59,1,M,6,m,576,woud woud woud jeep woud jeep woud,4,word
24626,24626,59,0,C,5,m,557,gint gint gint koed koed gint gint,4,nonword
24627,24627,59,1,M,7,m,363,bier bier bier stof bier bier stof,4,word
24628,24628,59,1,M,2,m,348,tape klom klom tape klom klom klom,4,word
24629,24629,59,1,M,7,m,413,norm norm norm glad norm norm glad,4,word
24630,24630,59,0,C,1,m,321,morp morp morp ests morp morp morp,4,nonword
24631,24631,59,1,M,2,m,366,knie zaad zaad knie zaad zaad zaad,4,word
24632,24632,59,1,M,1,m,324,deel deel deel vijf deel deel deel,4,word
24633,24633,59,1,M,1,m,453,raad raad raad fout raad raad raad,4,word
24634,24634,59,0,C,2,m,190,cens baap baap cens baap baap baap,4,nonword
24635,24635,59,0,C,4,,2166,rege rege nijt nijt rege rege rege,4,nonword
24636,24636,59,0,C,3,m,363,biek stog biek stog biek biek biek,4,nonword
24637,24637,59,1,M,1,m,477,dook dook dook pech dook dook dook,4,word
24638,24638,59,1,M,6,m,371,hand hand hand jouw hand jouw hand,4,word
24639,24639,59,1,M,6,m,351,hoge hoge hoge papa hoge papa hoge,4,word
24640,24640,59,1,M,5,m,315,hang hang hang dure dure hang hang,4,word
24641,24641,59,0,C,1,m,429,afes afes afes mong afes afes afes,4,nonword
24642,24642,59,1,C,6,c,476,jubs jubs jubs wemt jubs wemt jubs,4,nonword
24643,24643,59,1,M,1,m,410,luid luid luid voer luid luid luid,4,word
24644,24644,59,1,C,3,c,597,taar ille taar ille taar taar taar,4,nonword
24645,24645,59,1,C,3,c,495,noed sauw noed sauw noed noed noed,4,nonword
24646,24646,59,1,M,3,m,726,ruit coma ruit coma ruit ruit ruit,4,word
24647,24647,59,1,M,6,m,379,nest nest nest lamp nest lamp nest,4,word
24648,24648,59,1,M,1,m,405,been been been shit been been been,4,word
24649,24649,59,0,C,5,m,272,jafi jafi jafi knes knes jafi jafi,4,nonword
24650,24650,59,1,C,1,c,458,ereg ereg ereg fonk ereg ereg ereg,4,nonword
24651,24651,59,1,C,1,c,545,duut duut duut opke duut duut duut,4,nonword
24652,24652,59,1,M,5,m,359,wijn wijn wijn vuur vuur wijn wijn,4,word
24653,24653,59,1,M,3,m,301,borg tand borg tand borg borg borg,4,word
24654,24654,59,0,C,7,m,347,stot stot stot beem stot stot beem,4,nonword
24655,24655,59,0,C,2,m,375,mote saar saar mote saar saar saar,4,nonword
24656,24656,59,1,M,3,m,410,eeuw stap eeuw stap eeuw eeuw eeuw,4,word
24657,24657,59,1,C,4,c,657,drik drik onel onel drik drik drik,4,nonword
24658,24658,59,1,M,3,m,435,data ober data ober data data data,4,word
24659,24659,59,0,C,6,m,323,bust bust bust mave bust mave bust,4,nonword
